Farmers Market Miami,Market Date, Sales , Flow Spend ,Market Date, Sales , Flow Spend ,Market Date, Sales , Flow Spend ,Market Date, Sales , Flow Spend ,Market Date, Sales , Flow Spend ,Market Date, Sales , Flow Spend ,Market Date, Sales 3/2 , Flow Spend ,Market Date, Sales 3/9 , Flow Spend ,Market Date, Sales 3/16 , Sales 3/23 , Sales 3/30 ,Total March
Flow Faves,01/19/2025," $ 1,157.00 ",,01/26/2025," $ 2,025.50 ",,02/02/2025, $ 964.00 ,,02/09/2025, $ 400.00 ,,02/16/2025," $ 1,317.00 ",,02/23/25, $ 643.00 ,,03/02/25,$770.00,,"$45,726.00",$866.00,,"$45,733.00",$875.00,$778.00,$0.00,"$3,289.00"
Flow Cafe,,,,,,,,,,,,,,,,02/23/25, $ 819.00 ,,03/02/25,$692.00,,"$45,726.00",$879.00,,"$45,733.00","$1,000.00","$1,140.00","$1,301.50","$5,012.50"
Paradise Farms ,01/19/2025," $ 1,431.99 ", $ 860.00 ,01/26/2025," $ 1,358.00 ", $ 523.00 ,02/02/2025, $ 862.29 ," $ 1,798.21 ",02/09/2025," $ 1,435.00 "," $ 1,383.00 ",02/16/2025," $ 2,200.00 "," $ 1,312.37 ",02/23/25," $ 2,961.00 ",,03/02/25,"$4,113.00",,"$45,726.00","$3,596.00",,"$45,733.00","$3,619.00","$3,707.50","$3,500.00","$18,535.50"
Chevre,,,,,,,,,,02/09/2025,,,02/16/2025," $ 1,043.00 ", $ 427.00 ,02/23/25," $ 1,314.00 ",,03/02/25,"$1,424.00",,"$45,726.00",$821.90,,"$45,733.00","$1,138.00","$1,094.00","$1,407.90","$5,885.80"
Honeyveil,,,,,,,,,,,,,,,,02/23/25," $ 1,500.00 ",,03/02/25,"$1,750.00",,"$45,726.00","$2,471.00",,"$45,733.00","$3,364.00","$4,548.00","$3,274.00","$15,407.00"
Antidote Chocolate,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$407.00,$407.00
Tipsy taps,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$14.00,$14.00
Exceptionally Good Cookies,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$236.00,$236.00
Twist and Seasons,01/19/2025, $ 232.00 ,,01/26/2025, $ 262.00 ,,02/02/2025, $ 206.00 ,,02/09/2025, $ 250.00 ,,02/16/2025, $ 202.00 ,,02/23/25, $ 244.00 ,,03/02/25,$372.00,,"$45,726.00",$415.00,,"$45,733.00",$487.00,$513.00,$314.00,"$2,101.00"
Yukan Cassava Frozen Pizza,,,,01/26/2025, $ 606.00 ,,02/02/2025, $ 375.00 ,,02/09/2025, $ 355.00 ,,02/16/2025, $ 300.00 ,,02/23/25, $ 580.00 ,,03/02/25,$376.00,,"$45,726.00",$300.00,,"$45,733.00",$202.00,$480.00,$235.00,"$1,593.00"
Nonnas Super Secret Cilantro Sauce,01/19/2025, $ 580.00 ,,01/26/2025, $ 566.00 ,,02/02/2025, $ 570.00 ,,02/09/2025, $ 405.00 ,,02/16/2025, $ 356.00 ,,02/23/25, $ 366.00 ,,03/02/25,$420.00,,"$45,726.00",$474.00,,"$45,733.00",$360.00,$437.00,$172.00,"$1,863.00"
Sacred Wisdom Foods,,,,01/26/2025, $ 425.00 ,,02/02/2025, $ 250.00 ,,02/09/2025, $ 550.00 ,,02/16/2025, $ 450.00 ,,02/23/25, $ 500.00 ,,03/02/25,$500.00,,"$45,726.00",$450.00,,"$45,733.00",$450.00,$560.00,$190.00,"$2,150.00"
PM Seafood,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$94.00,$94.00
HeyDay,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$260.00,$260.00
Pan du Yucca,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$600.00,$90.00,$690.00
Urban Italia Focaccia,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00,$350.00,$650.00
Kokonut,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$100.00,$100.00
Muria Foods,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,,,$185.00,$452.00,$190.00,$827.00
Mint Leaf Vietamese,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$302.00,$437.00,$739.00
Schocolates,,,,,,,,,,,,,,,,,,,,$0.00,,,$0.00,,,$0.00,$0.00,$450.00,$450.00
Sipan Bread,,,,,,,,,,,,,,,,,,,,$0.00,$0.00,$0.00,$0.00,,,$200.00,$270.00,$300.00,$770.00
MammaMia Florals,01/19/2025, $ 550.00 ,,01/26/2025, $ 750.00 ,,02/02/2025, $ 550.00 ,,02/09/2025, $ 580.00 ,,02/16/2025,,,02/23/25, $ -   ,,03/02/25,$570.00,,"$45,726.00",$700.89,,"$45,733.00",$689.00,$930.00,$604.00,"$3,493.89"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarleeBee Pets,,,,,,,,,,,,,,,,02/23/25, $ -   ,,03/02/25, $ -   ,,03/10/25, $ 620.00 ,,3/17/25,$430.00,,, $ 620.00 
Exceptionally Good Cookies,,,,,,,,,,,,,02/16/2025, $ 261.00 , $ 100.00 ,02/23/25, $ -   ,,03/02/25, $ 216.00 ,,03/10/25, $ -   ,,3/17/25,$377.00,,, $ 577.00 
Thom Fun's / Brewing Life Kombucha,,,,,,,,,,02/09/2025, $ 170.00 ,,02/16/2025, $ 220.00 ,,02/23/25, $ 201.00 ,,03/02/25, $ 220.00 ,,03/10/25, $ 220.00 ,,3/24/25,$0.00,,," $ 1,031.00 "
La Gringuita Cookies,,,,,,,,,,,,,,#REF!,,02/23/25, $ 300.00 ,,,,,03/10/25, $ 230.00 ,,3/28/25,$0.00,,,#REF!
Nana's Whip,,,,,,,,,,,,,,,,02/23/25, $ 250.00 ,,,#REF!,,03/10/25, $ 209.00 ,,3/29/25,$0.00,,,#REF!
Om Juice ,01/19/2025, $ 405.00 ,,01/26/2025, $ 440.00 ,,02/02/2025, $ 515.00 ,,02/09/2025, $ 300.00 ,,02/16/2025, $ 180.00 ,,02/23/25, $ 131.00 ,,03/02/25, $ 283.00 ,,03/10/25,,,3/30/25,$0.00,,," $ 2,254.00 "
Ocisly Ceramics,,,,,,,,,,,,,,,,,,,03/02/25,,,03/10/25,,,4/1/25,0,,, $ -   
Petchefy,,,,,,,,,,,,,02/16/2025, 25 sign ups ,,02/23/25, 30 sign ups ,,,,,,,,4/2/25,45 sign ups,,,#VALUE!
Domaselo,,,,,,,,,,02/09/2025, $ 700.00 ,,02/16/2025, Flow Faves ,,02/23/25, Flow Faves ,,,,,,,,4/3/25,0,,,#VALUE!
Muria Foods,,,,,,,02/02/2025, $ 534.72 ,,02/09/2025, $ 350.00 ,,02/16/2025,,,02/23/25," $ 9,809.00 ",,,,,,,,4/4/25,185,,," $ 10,693.72 "
Miami Cheese Shop,,,,,,,02/02/2025, $ 170.00 ,,,,,,,,02/23/25,,,,,,,,,,0,,, $ 170.00 
La Llorona Mexican ,,,,,,,02/02/2025, $ 261.00 ,,02/09/2025,,,02/16/2025, $ 373.51 ,,02/23/25,,,,,,,,,,0,,, $ 634.51 
Massage,,,,,,,,,,02/09/2025, $ 118.00 ,,,,,02/23/25,,,,,,,,,,0,,, $ 118.00 
Raccoon Coffee ,01/19/2025, $ 62.00 ,,,,,,,,,,,,,,02/23/25,,,,,,,,,,0,,, $ 62.00 
Sunday’s Croissanterie,01/19/2025, $ 700.00 ,,,,,,,,,,,,,,02/23/25,,,,,,,,,,0,,, $ 700.00 
Groovy Growing (+ kids potting activity),," $ 5,117.99 ",,01/26/2025, $ 90.00 ,,,,,,,,,,,02/23/25,,,,,,,,,,0,,," $ 5,207.99 "
Erica Lores Ceramics + Kids activity,,,,,,,,,,,,,02/16/2025, $ 60.00 , $ 350.00 ,02/23/25,,,,,,,,,,0,,, $ 410.00 
